seq_beneficiario;dt_inicio_direito;des_categoria;desc_entidade;val_redutor_teto;municipio;uf;dt_requerimento;dt_doc_completa;dt_deferimento;mes_deferimento;dias_uteis_concessao;;;;;;
189023;18/12/2024;CONJUGE;SECRETARIA DE ESTADO DE EDUCACAO;1518;OURO PRETO;MG;18/12/2024;19/12/2024;02/01/2025;Janeiro;11;;;;;;
189024;27/11/2024;CONJUGE;IPSEMG INSTITUTO PREVIDENCIA;2108,63;MURIAE;MG;09/12/2024;09/12/2024;21/02/2025;Fevereiro;55;;;;;;
189025;06/10/2024;CONJUGE;SECRETARIA DE ESTADO DE EDUCACAO;1518;BRAZOPOLIS;MG;09/12/2024;30/12/2024;03/01/2025;Janeiro;5;;;;;;
189027;14/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;1518;ALMENARA;MG;20/12/2024;27/12/2024;03/01/2025;Janeiro;6;;;;;;
189028;18/11/2024;CONJUGE;SECRETARIA DE EDUCACAO;2624,35;UBERLANDIA;MG;02/12/2024;18/12/2024;02/01/2025;Janeiro;12;;;;;;
189029;08/11/2024;CONJUGE;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;9704,42;BELO HORIZONTE;MG;18/11/2024;22/11/2024;02/01/2025;Janeiro;30;;;;;;
189030;08/01/2025;FILHO(A);SECRETARIA DE EDUCACAO;3036;SOBRALIA;MG;18/12/2024;27/12/2024;08/01/2025;Janeiro;9;;;;;;
189032;10/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;3139,49;ITAJUBA;MG;18/12/2024;20/12/2024;03/01/2025;Janeiro;11;;;;;;
189033;29/09/2024;FILHO(A);SECRETARIA DE ESTADO DE EDUCACAO;2829,1;BURITIS;MG;19/12/2024;30/12/2024;03/01/2025;Janeiro;5;;;;;;
189034;23/11/2024;CONJUGE;SECRETARIA DE EDUCACAO;2837,3;CONGONHAS;MG;27/12/2024;02/01/2025;03/01/2025;Janeiro;2;;;;;;
189037;07/11/2024;CONJUGE;POLICIA CIVIL;7746,93;BELO HORIZONTE;MG;27/12/2024;02/01/2025;03/01/2025;Janeiro;2;;;;;;
189040;14/11/2024;CONJUGE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;1721,95;LAVRAS;MG;20/12/2024;02/01/2025;03/01/2025;Janeiro;2;;;;;;
189043;24/09/2024;FILHO(A);SECRETARIA DE EDUCACAO;2322,38;JOAO MONLEVADE;MG;24/09/2024;13/01/2025;14/01/2025;Janeiro;2;;;;;;
189045;08/09/2024;FILHO(A);SECRETARIA DE JUSTICA E SEGURANCA PUBLICA;2787,4;UNAI;MG;05/12/2024;02/01/2025;07/01/2025;Janeiro;4;;;;;;
189047;12/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;2146,87;TOCANTINS;MG;26/12/2024;03/01/2025;06/01/2025;Janeiro;2;;;;;;
189049;10/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;3676,62;ARINOS;MG;30/12/2024;06/01/2025;06/01/2025;Janeiro;1;;;;;;
189050;17/12/2024;CONJUGE;POLICIA CIVIL;14592,07;BELO HORIZONTE;MG;17/12/2024;30/12/2024;06/01/2025;Janeiro;6;;;;;;
189051;15/11/2024;CONJUGE;SECRETARIA DE EDUCACAO;5778,15;ITABIRITO;MG;13/12/2024;06/01/2025;06/01/2025;Janeiro;1;;;;;;
189052;13/12/2024;CONJUGE;POLICIA CIVIL;19742,06;ITABIRA;MG;27/12/2024;06/01/2025;06/01/2025;Janeiro;1;;;;;;
189053;04/11/2024;COMPANHEIRO(A);FHEMIG FUND HOSPITALAR EST MG;2215,68;TOCANTINS;MG;20/12/2024;02/01/2025;09/01/2025;Janeiro;6;;;;;;
189054;04/11/2024;FILHO(A);FHEMIG FUND HOSPITALAR EST MG;2215,68;TOCANTINS;MG;21/12/2024;02/01/2025;09/01/2025;Janeiro;6;;;;;;
189055;13/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;3833,21;POCRANE;MG;30/12/2024;30/12/2024;07/01/2025;Janeiro;7;;;;;;
189056;20/12/2024;FILHO(A);UEMG UNIV EST DE MINAS GERAIS;1518;BELO HORIZONTE;MG;20/12/2024;06/01/2025;07/01/2025;Janeiro;2;;;;;;
189060;21/12/2024;CONJUGE;POLICIA CIVIL;13453,74;ITAIPAVA;ES;02/01/2025;06/01/2025;07/01/2025;Janeiro;2;;;;;;
